master_id,primary_study_or_review_level,domain,instrument,threshold,definition_class,assessor,patient_reported,timing,composite_rule,any_one_domain_counts_as_response,validated_for_inph,mcid_source,notes,pdf,page_or_table
FT-001,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied; often short/intermediate,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.48–77
FT-002,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.191–204
FT-003,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,"3-36 months, some NR",Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.78–87
FT-004,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.23–47
FT-005,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,"Baseline, 3, 6, 12, 24 months",Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.236–247
FT-007,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.37–47
FT-008,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.129–142
FT-010,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.172–180
FT-011,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.194–205
FT-012,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.1–22
FT-013,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,1 month to long-term,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.220–235
FT-015,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.174–183
