master_id,primary_study_or_review_level,domain,instrument,threshold,definition_class,assessor,patient_reported,timing,composite_rule,any_one_domain_counts_as_response,validated_for_inph,mcid_source,notes,pdf,page_or_table,definition_class_norm,patient_reported_norm,validated_norm,mcid_norm,outcome_group,source_label_validated_threshold,general_instrument_validation_only,threshold_validated_for_inph_shunt_response,threshold_validation_status,patient_reported_clear,mcid_explicitly_unreported,mcid_not_applicable,instrument_validation_source_described,mcid_source_specific_to_inph_shunt_response,statistical_change_only,author_defined
FT-001,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied; often short/intermediate,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.48–77,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-002,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.191–204,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-003,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,"3-36 months, some NR",Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.78–87,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-004,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.23–47,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-005,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,"Baseline, 3, 6, 12, 24 months",Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.236–247,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-007,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.37–47,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-008,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.129–142,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-010,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.172–180,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-011,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.194–205,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-012,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.1–22,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
