effect_id,master_id,predictor,outcome,time,effect_measure,estimate,ci_low,ci_high,p_value,studies_k,participants_n,events,model,heterogeneity,threshold,direction,adjusted,source_type,pdf,page_or_table,internal_discrepancy,extraction_provenance,analysis_cell,evidence_level,umbrella_role,pool_across_reviews,dependency_note,estimate_num,ci_low_num,ci_high_num,studies_k_num,participants_n_num,effect_family,display_estimate,display_ci_low,display_ci_high,null_value
FE-0001,FT-002,Shunt surgery,Any cognitive improvement,Post-shunt; varied,Pooled proportion (%),56.6,NR,NR,NR,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NR,Random-effects proportion,High/heterogeneous definitions,,IMPROVEMENT,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 1,M1 pp.191–204; abstract/results,NO,CONSENSUS_3_REVIEWERS,COGNITIVE_CHANGE,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,56.6,,,,,PROBABILITY,0.5660000000000001,,,
FE-0002,FT-002,Shunt surgery,Objectively defined cognitive improvement,Post-shunt; varied,Pooled proportion (%),64.2,NR,NR,NR,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NR,Subgroup pooled proportion,Range 39.5–85.5%,,IMPROVEMENT,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 1,M1 pp.191–204; results,NO,CONSENSUS_3_REVIEWERS,COGNITIVE_CHANGE,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,64.2,,,,,PROBABILITY,0.642,,,
FE-0003,FT-003,Complex vs pure iNPH phenotype,Global shunt response,Varied follow-up,OR,0.31,0.09,1.1,NR,3,NR,NR,Random-effects Hartung–Knapp,I²=0% but unstable at k=3,,OR<1 favors pure iNPH,UNADJUSTED,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 2,M2 pp.78–87; Fig.2/Table 2,NO,CONSENSUS_3_REVIEWERS,COMPLEX_PHENOTYPE,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.31,0.09,1.1,3.0,,RATIO,0.31,0.09,1.1,1.0
FE-0004,FT-003,Complex vs pure iNPH phenotype,Urinary improvement,Mean ~4 months / varied,OR,0.85,0.58,1.25,NR,3,NR,NR,Random-effects Hartung–Knapp,I²=0% but unstable at k=3,,OR<1 favors pure iNPH,UNADJUSTED,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 2,M2 pp.78–87; Fig.3/Table 2,NO,CONSENSUS_3_REVIEWERS,COMPLEX_PHENOTYPE,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.8500000000000001,0.58,1.25,3.0,,RATIO,0.8500000000000001,0.58,1.25,1.0
FE-0005,FT-003,Complex iNPH; within-group pre-post,Post-shunt Cognition,Varied,SMCR,0.91,-0.04,1.87,NR,9 studies / 9 effects,NR,NR,Random-effects; r=0.5,I²=83.3%,,Positive=improvement,UNADJUSTED,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 2,M2 p.82; Fig.4/Table 3,NO,CONSENSUS_3_REVIEWERS,COMPLEX_PHENOTYPE,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.91,-0.04,1.87,9.0,,DIFFERENCE,0.91,-0.04,1.87,0.0
FE-0006,FT-003,Complex iNPH; within-group pre-post,Post-shunt Gait,Varied,SMCR,-0.22,-1.65,1.21,NR,9 studies / 10 effects,NR,NR,Random-effects; r=0.5,I²=87.3%,,Positive=improvement,UNADJUSTED,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 2,M2 p.82; Fig.4/Table 3,NO,CONSENSUS_3_REVIEWERS,COMPLEX_PHENOTYPE,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,-0.22,-1.65,1.21,9.0,,DIFFERENCE,-0.22,-1.65,1.21,0.0
FE-0007,FT-003,Complex iNPH; within-group pre-post,Post-shunt General function,Varied,SMCR,-4.25,-10.55,2.05,NR,6 studies / 8 effects,NR,NR,Random-effects; r=0.5,I²=92.5%,,Positive=improvement,UNADJUSTED,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 2,M2 p.82; Fig.4/Table 3,NO,CONSENSUS_3_REVIEWERS,COMPLEX_PHENOTYPE,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,-4.25,-10.55,2.05,6.0,,DIFFERENCE,-4.25,-10.55,2.05,0.0
FE-0008,FT-003,Complex iNPH; within-group pre-post,Post-shunt Incontinence,Varied,SMCR,0.17,-0.12,0.46,NR,5 studies / 5 effects,NR,NR,Random-effects; r=0.5,I²=0%,,Positive=improvement,UNADJUSTED,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 2,M2 p.82; Fig.4/Table 3,NO,CONSENSUS_3_REVIEWERS,COMPLEX_PHENOTYPE,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.17,-0.12,0.46,5.0,,DIFFERENCE,0.17,-0.12,0.46,0.0
FE-0009,FT-003,Complex minus pure iNPH phenotype,Difference in post-shunt Cognition change,Varied,Difference in SMCR,-0.07,-1.79,1.64,NR,NR,NR,NR,Random-effects,I²=78.6%,,Negative favors pure iNPH,UNADJUSTED,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 2,M2 p.82; Fig.5/Table 4,NO,CONSENSUS_3_REVIEWERS,COMPLEX_PHENOTYPE,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,-0.07,-1.79,1.64,,,DIFFERENCE,-0.07,-1.79,1.64,0.0
FE-0010,FT-003,Complex minus pure iNPH phenotype,Difference in post-shunt Gait change,Varied,Difference in SMCR,-0.16,-1.34,1.02,NR,NR,NR,NR,Random-effects,I²=80.4%,,Negative favors pure iNPH,UNADJUSTED,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 2,M2 p.82; Fig.5/Table 4,NO,CONSENSUS_3_REVIEWERS,COMPLEX_PHENOTYPE,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,-0.16,-1.34,1.02,,,DIFFERENCE,-0.16,-1.34,1.02,0.0
