master_id,record_id,title,year,authors,journal,doi,pmid,final_layer,primary_domain,secondary_domain,primary_study_list_status,clinical_summary,critical_warnings,causal_scope,adjudication_status,citation,country_or_region,objective,review_type,protocol_registration,databases,search_end_date,language_limits,grey_literature,eligibility_summary,n_included_reports,n_unique_primary_studies,n_cohorts_if_reported,total_participants,inph_participants,shunted_participants,study_designs,shunt_types,predictor_modalities,comparator_or_reference_standard,outcome_domains,follow_up,synthesis_method,meta_analysis,primary_study_rob_tool,certainty_method,funding,conflicts,pdf,pages
FT-001,INPH-U0324,"Cerebral blood flow, autoregulation and vascular reactivity in normal pressure hydrocephalus: a systematic review.",2026,"Lalou, Afroditi Despoina Czosnyka, Zofia Helena Czosnyka, Marek Pickard, John Douglas",Fluids and Barriers of the CNS (2026) 23:1 Article Number: 10. Date of Publication: 1 Dec 2026,10.1186/s12987-025-00720-2,41402911.0,A-PARCIAL,Functional/hemodynamic imaging,Cerebral perfusion and vascular reactivity,INCOMPLETE_OR_PLACEHOLDER,Do not exclude shunt candidacy on low baseline CBF alone. CVR is hypothesis-generating and should be tested in multimodal prospective models.,Small samples; mixed NPH definitions; mixed temporary-drainage and post-shunt outcomes; no pooled accuracy.,Prognostic/predictive association among selected patients; not a treatment-effect modifier.,ADJUDICATED_FINAL,"Lalou et al. (2026). Cerebral blood flow, autoregulation and vascular reactivity in normal pressure hydrocephalus: a systematic review. Fluids and Barriers of the CNS (2026) 23:1 Article Number: 10. Date of Publication: 1 Dec 2026. DOI: 10.1186/s12987-025-00720-2.",UK/Sweden/Poland,"Assess CBF, autoregulation and cerebrovascular reactivity in adult NPH, including prediction of response to CSF drainage/shunting.",Systematic review update,CRD42018090946,"Ovid MEDLINE, Embase, Scopus, Cochrane CENTRAL; reference checking",2024,NR,Reference checking,Adult NPH studies from 2000-2024 assessing CBF/autoregulation/CVR; only shunt/drainage-outcome components eligible here.,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Mostly observational imaging/hemodynamic cohorts,"VP shunt/CSF diversion, varied","CBF, SPECT/PET/MRI perfusion, TCD, acetazolamide CVR, autoregulation",Clinical response after temporary drainage or shunt,"Global, gait, cognition",Varied; often short/intermediate,Structured narrative synthesis; meta-analysis not feasible due heterogeneity,NO,Study-design-specific risk-of-bias assessment reported,NR,NR,NR,MESCLADOS 2,48-77
FT-002,INPH-U0327,Cognitive assessment methods and outcomes following shunt surgery in idiopathic normal pressure hydrocephalus (iNPH): a systematic review and meta-analysis.,2026,Healy L.M.; Varma P.; Joannides A.J.; Healy L.M.; Pickard J.D.; Joannides A.J.; Healy L.M.; Tooze J.; Quist D.; Fernandez-Mendez R.; Pickard J.D.; Smielewski P.; Joannides A.J.; Carswell C.; Fernandez-Mendez R.,"Fluids and Barriers of the CNS 23, article 70 (2026). Published 11 May 2026.",10.1186/s12987-026-00808-3,42116063.0,B,Cognition and neuropsychological outcomes,Outcome measurement,INCOMPLETE_OR_PLACEHOLDER,Use domain-sensitive instruments and prespecify clinical thresholds. Do not equate a small MMSE gain with meaningful cognitive benefit.,Internal count discrepancy (155 abstract vs 195 body); repeated test effects; practice effects; overlapping cohorts; outcome-measure heterogeneity.,"Outcome measurement, not prediction.",ADJUDICATED_FINAL,"Healy, L.M., Tooze, J., Quist, D. et al. (2026). Cognitive assessment methods and outcomes following shunt surgery in idiopathic normal pressure hydrocephalus (iNPH): a systematic review and meta-analysis. Fluids and Barriers of the CNS 23, 70. Published 11 May 2026. https://doi.org/10.1186/s12987-026-00808-3.",UK,Synthesize cognitive assessment methods and cognitive outcomes after shunt surgery in iNPH.,Systematic review and meta-analysis,CRD42021296112,"PubMed, Scopus, PsycINFO, Web of Science",NR,English; peer-reviewed,NR,"Adults with suspected iNPH, shunted, with within-subject pre/post cognitive assessment.",195,195,NÃO EXTRAÍVEL,11445,11445,11445,Predominantly observational pre-post cohorts,"Permanent CSF shunts, varied",Cognitive instruments and response definitions,Post-shunt within-subject cognitive change,Cognition; outcome measurement,Varied,Random-effects meta-analysis of ten cognitive outcomes plus narrative mapping,YES,Study quality assessed; tool details in article/supplement,Clinically meaningful change benchmarked to normative SD/z-score thresholds,NR,NR,MESCLADOS 1,191-204
FT-003,INPH-U0328,Clinical response after cerebrospinal fluid shunting in complex versus pure idiopathic normal pressure hydrocephalus: A systematic review and meta-analysis.,2026,"Maciel, Caio Arruda da Silva, Kaua Gabriel Oliveira de Paula, Vinicius Galbim Santana, Victor Alves de Menezes, Maria Clara Junqueira Teles Pinto, Fernando Campos Gomes",Clinical Neurology and Neurosurgery (2026) 269 Article Number: 109557. Date of Publication: 1 Oct 2026,10.1016/j.clineuro.2026.109557,42385569.0,A,Clinical phenotype and comorbidity,Biomarkers and neurodegenerative copathology,COMPLETE_FOR_CCA,"Comorbidity should modify counseling and expected domains, not serve as an automatic contraindication to shunting.",Few direct comparisons; phenotype misclassification; heterogeneous overlap constructs; high imprecision; author involvement requires independent appraisal in this umbrella review.,Prognostic phenotype among shunted patients; not causal effect modification.,ADJUDICATED_FINAL,Maciel et al. (2026). Clinical response after cerebrospinal fluid shunting in complex versus pure idiopathic normal pressure hydrocephalus: A systematic review and meta-analysis. Clinical Neurology and Neurosurgery (2026) 269 Article Number: 109557. Date of Publication: 1 Oct 2026. DOI: 10.1016/j.clineuro.2026.109557.,Brazil,Compare post-shunt outcomes in complex versus pure iNPH phenotypes.,Systematic review and meta-analysis,NR,"MEDLINE/PubMed, Embase, Web of Science, Scopus, Cochrane Library",January 2026,NR,NR,Adults with iNPH with separable pure or neurodegenerative/vascular complex phenotypes and postoperative outcomes.,22,19,19,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Comparative cohorts and single-arm postoperative series,"CSF shunts, varied","Comorbidity phenotype, AD biomarkers/pathology, parkinsonism, vascular/neurodegenerative overlap",Pure iNPH phenotype; postoperative change,"Global response, gait, cognition, urinary, general function","3-36 months, some NR",Hartung-Knapp random-effects binary meta-analysis; SMCR; multilevel time meta-regression,YES,JBI critical appraisal by design,GRADE for principal comparative analyses,NR,NR,MESCLADOS 2,78-87
FT-004,INPH-U0331,Decoding the CSF Proteomic Signature of Idiopathic Normal Pressure Hydrocephalus: A Systematic Review.,2026,"Kwiecien, Aleksandra Dudzic, Malgorzata Lemanski, Andrzej Kalka, Justin M. Druzdz, Artur Hojan, Katarzyna Palandri, Giorgio Sokol, Bartosz",Molecules (2026) 31:13 Article Number: 2319. Date of Publication: 1 Jul 2026,10.3390/molecules31132319,42451686.0,A-PARCIAL,Biomarkers and pathology,CSF proteomics,INCOMPLETE_OR_PLACEHOLDER,"Biomarkers may refine prognosis and identify competing pathology, but should not yet determine eligibility alone.",Predominantly exploratory studies; multiple testing; assay heterogeneity; weak EPHPP ratings; diagnostic and prognostic aims mixed.,Prognostic association.,ADJUDICATED_FINAL,Kwiecien et al. (2026). Decoding the CSF Proteomic Signature of Idiopathic Normal Pressure Hydrocephalus: A Systematic Review. Molecules (2026) 31:13 Article Number: 2319. Date of Publication: 1 Jul 2026. DOI: 10.3390/molecules31132319.,Poland/Italy,"Synthesize CSF proteomic biomarkers with diagnostic and prognostic relevance, including shunt responsiveness.",Systematic review,CRD420261283971,"PubMed, Web of Science, Google Scholar",2026,NR,Google Scholar included,iNPH proteomic studies; only nine reports correlating preoperative proteins with VPS response eligible to prognostic layer.,14,14,NÃO EXTRAÍVEL,1171,1171,764,Exploratory observational biomarker cohorts,VPS,"CSF proteomics; Aβ, tau, NfL, AQP4, ECM/inflammatory proteins and panels",Responder versus non-responder after VPS,"Global, gait, cognition",Varied,Structured qualitative synthesis,NO,EPHPP,NR,NR,NR,MESCLADOS 2,23-47
FT-005,INPH-U0337,Neuropsychological Profile of Normal Pressure Hydrocephalus: A Systematic Review of Cognitive Trajectories and Evidence-Based Assessment Tools for Surgical Management.,2026,"Scalia, Gianluca Pitoia, Rosalba Passarello, Lisa Finocchiaro, Roberta Razza, Grazia Nicoletti, Giovanni Graziano, Francesca",World Neurosurgery (2026) 208 Article Number: 124868. Date of Publication: 1 Apr 2026,10.1016/j.wneu.2026.124868,41698503.0,B,Cognition and neuropsychological outcomes,Outcome measurement,INCOMPLETE_OR_PLACEHOLDER,A perioperative battery should capture processing speed and executive function; a single global screen is insufficient.,Small number of heterogeneous studies; transformed nonparametric data; iNPH/sNPH mixture; no control for practice effects.,Outcome measurement.,ADJUDICATED_FINAL,Scalia et al. (2026). Neuropsychological Profile of Normal Pressure Hydrocephalus: A Systematic Review of Cognitive Trajectories and Evidence-Based Assessment Tools for Surgical Management. World Neurosurgery (2026) 208 Article Number: 124868. Date of Publication: 1 Apr 2026. DOI: 10.1016/j.wneu.2026.124868.,Italy,Review cognitive trajectories and evidence-based neuropsychological tools for surgical management of NPH.,Systematic review with pooled descriptive analysis,NR,"PubMed/MEDLINE, Web of Science",NR,NR,NR,Adult NPH studies with standardized neuropsychological assessment before and after surgery.,10,10,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Observational pre-post cohorts,"Shunt surgery, varied","MMSE, TMT-A/B, FAB, verbal fluency, memory, psychomotor tests",Within-subject postoperative cognitive change,Cognition; outcome measurement,"Baseline, 3, 6, 12, 24 months",Weighted means/pooled SDs after transformation of medians/IQRs; no inferential random-effects meta-analysis stated,PARTIAL/DESCRIPTIVE,NR,NR,NR,NR,MESCLADOS 2,236-247
FT-007,INPH-U0353,Neuropsychiatric Features in Patients With Idiopathic Normal Pressure Hydrocephalus: A Systematic Review and Meta-Analysis.,2026,Belessiotis-Richards C.; Stewart R.; Belessiotis-Richards C.; Brady E.; Livingston G.; Brady E.; Abrol E.; Livingston G.; Chance V.; Joyce E.; Toma A.,Neurol Clin Pract. 2026 Apr;16(2):e200586. doi: 10.1212/CPJ.0000000000200586.,10.1212/cpj.0000000000200586,41657358.0,B,Cognition and neuropsychological outcomes,Neuropsychiatric outcomes,INCOMPLETE_OR_PLACEHOLDER,"Neuropsychiatric symptoms are patient-relevant outcomes and should be measured, but present evidence is insufficient to predict surgical benefit.",Most evidence observational; heterogeneous assessment; limited baseline data; treatment may include more than definitive shunting.,Outcome/prevalence; not a treatment-effect modifier.,ADJUDICATED_FINAL,Belessiotis-Richards C.; Stewart R.; Belessiotis-Richards C.; Brady E.; Livingston G.; Brady E.; Abrol E.; Livingston G.; Chance V.; Joyce E.; Toma A. et al. (2026). Neuropsychiatric Features in Patients With Idiopathic Normal Pressure Hydrocephalus: A Systematic Review and Meta-Analysis. Neurol Clin Pract. 2026 Apr;16(2):e200586. doi: 10.1212/CPJ.0000000000200586.. DOI: 10.1212/cpj.0000000000200586.,UK,"Estimate prevalence, severity and treatment responsiveness of neuropsychiatric features in iNPH.",Systematic review and meta-analysis,CRD42021287293,"PubMed, CINAHL, Embase, Ovid MEDLINE, Cochrane, PsycINFO",23 October 2024,NR,NR,Adults with definite/probable/possible iNPH and validated/clinician-defined neuropsychiatric features.,22,22,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Observational studies and one RCT,"CSF diversion, including shunt",Neuropsychiatric instruments/diagnoses,Pre/post treatment neuropsychiatric scores,Neuropsychiatric symptoms,Varied,Random-effects proportions/SMD; meta-regression/subgroup/sensitivity analyses,YES,Study quality assessment reported (adapted tools),NR,NR,NR,MESCLADOS 1,37-47
FT-008,INPH-U0354,Beyond Hakim's triad: a systematic review of atypical clinical manifestations in idiopathic normal pressure hydrocephalus.,2026,"Demichele, Giuseppe Taddei, Graziano Iaboni, Edvige Gagliano, Mariasole De Vito, Alfredo Pompucci, Angelo Petrella, Gianpaolo",Acta Neurol Belg. 2026 Apr 6. doi: 10.1007/s13760-026-03057-1. Online ahead of,10.1007/s13760-026-03057-1,41936711.0,B,Clinical phenotype and comorbidity,Atypical manifestations and outcome measurement,INCOMPLETE_OR_PLACEHOLDER,"The triad should not be the only patient-centered outcome framework, but atypical symptoms cannot yet be used as reliable selection markers.",PubMed-only search; 61/114 sought full texts reportedly unavailable; case-report dominance; publication bias; nonstandard response.,Outcome description.,ADJUDICATED_FINAL,Demichele et al. (2026). Beyond Hakim's triad: a systematic review of atypical clinical manifestations in idiopathic normal pressure hydrocephalus. Acta Neurol Belg. 2026 Apr 6. doi: 10.1007/s13760-026-03057-1. Online ahead of. DOI: 10.1007/s13760-026-03057-1.,Italy,Describe atypical iNPH manifestations and symptom-specific response to CSF diversion.,Systematic review,NR,PubMed,2024,NR,NR,iNPH reports with symptoms beyond the Hakim triad and reported treatment response.,27,27,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,"Mixed observational reports, including small series",CSF diversion/shunt,"Atypical neuropsychiatric, neurologic, autonomic and systemic symptoms",Symptom resolution/improvement after CSF diversion,Atypical/neuropsychiatric symptoms,Varied,Structured narrative and descriptive percentages,NO,NR,NR,NR,NR,MESCLADOS 1,129-142
FT-010,INPH-U0374,The diagnostic value of the lumbar infusion test to predict symptomatic improvement after shunting for normal pressure hydrocephalus. A meta-analysis.,2025,"van Bilsen MWT(1)(2), Volovici V(3)(4), Arts S(5), van den Abbeele L(6), Boogaarts HD(6), Bartels RHMA(6), van Lindert EJ(6).",Acta Neurochirurgica (2025) 167:1 Article Number: 180. Date of Publication: 1 Dec 2025,10.1007/s00701-025-06591-8,40586823.0,A-PARCIAL,Temporary CSF drainage and CSF dynamics,Lumbar infusion test and Rout thresholds,INCOMPLETE_OR_PLACEHOLDER,"A positive/high Rout may support candidacy, but a low Rout should not be an exclusion criterion.",Verification/selection bias; heterogeneous thresholds and outcomes; serious risk of bias; mixed NPH.,Diagnostic prediction of post-shunt response.,ADJUDICATED_FINAL,van Bilsen MWT(1)(2) et al. (2025). The diagnostic value of the lumbar infusion test to predict symptomatic improvement after shunting for normal pressure hydrocephalus. A meta-analysis. Acta Neurochirurgica (2025) 167:1 Article Number: 180. Date of Publication: 1 Dec 2025. DOI: 10.1007/s00701-025-06591-8.,Netherlands,Determine diagnostic value of lumbar infusion testing for predicting symptomatic improvement after shunting in NPH.,Systematic review and Bayesian diagnostic meta-analysis,CRD42020210345,Ovid MEDLINE; reference backtracking,NR,English,Reference lists,Adults with suspected NPH undergoing LIT and shunt with extractable diagnostic-accuracy data.,5,5,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Observational diagnostic-accuracy cohorts,"Permanent shunt, varied",Lumbar infusion test; Rout thresholds 12/14/18 mmHg/ml/min,Post-shunt symptomatic improvement,Global response,Varied,Bayesian pooling of sensitivity/specificity and predictive values,YES,QUADAS-2,NR,NR,NR,MESCLADOS 3,172-180
FT-011,INPH-U0376,Non-invasive versus invasive techniques for predicting idiopathic normal-pressure hydrocephalus in shunt-responsive patients.,2025,"Wouters, Kim St. Brice, Khalil Olvera-Castro, Jose Fernando Ayoub, Dibe Balardini Salian, Neil Manjunath von Quednow, Enzo Abbas, Muhammad Sharjeel da Silveira Maia, Matheus Secco, Guilherme Linha de Moraes Mangas, Gabriel de Amorim, Samuel Oliveira Bozkurt, Ismail Chaurasia, Bipin Pinto, Fernando Campo Gomes",Neurosurgical Review (2025) 48:1 Article Number: 741. Date of Publication: 1 Dec 2025,10.1007/s10143-025-03895-2,41145826.0,A,Temporary CSF drainage and CSF dynamics,Invasive versus non-invasive testing,INCOMPLETE_OR_PLACEHOLDER,"Potential adjuncts for a multimodal pathway, not stand-alone gatekeepers.",Mixed reference standards; small retrospective cohorts; selective reporting; no external validation.,Diagnostic prediction.,ADJUDICATED_FINAL,Wouters et al. (2025). Non-invasive versus invasive techniques for predicting idiopathic normal-pressure hydrocephalus in shunt-responsive patients. Neurosurgical Review (2025) 48:1 Article Number: 741. Date of Publication: 1 Dec 2025. DOI: 10.1007/s10143-025-03895-2.,South Korea,Compare invasive and non-invasive techniques for distinguishing shunt-responsive iNPH.,Systematic review,CRD42024519409,"PubMed, Embase, Cochrane Library",March 2023,NR,NR,"Age >60, iNPH, invasive/non-invasive preoperative tests and shunt-responsiveness outcomes.",10,10,NÃO EXTRAÍVEL,401,401,NÃO EXTRAÍVEL,Observational cohorts,"Shunt, varied","LP/tap, infusion, EEG, TCD, intracranial compliance, OCT and related methods",Shunt-responsive versus non-responsive,Global; gait/cognition where reported,Varied,Structured narrative synthesis,NO,NR,NR,NR,NR,MESCLADOS 3,194-205
FT-012,INPH-U0379,Accuracy of CSF Tap Test and Lumbar Infusion Test in Predicting Shunt Response in Idiopathic Normal Pressure Hydrocephalus: A Systematic Review and Meta-Analysis,2026,Aliyar A.; Dash D.; Fasano A.; Prasad M.; Dhikav V.; Wagle Shukla A.; Upadhyay A.D.; Desai S.; Poudel S.; Pal P.K.; Elavarasi A.,Frontiers in Neurology. 2026;17:1908328,10.3389/fneur.2026.1908328,,A,Temporary CSF drainage and CSF dynamics,Tap test and lumbar infusion diagnostic accuracy,COMPLETE_PREPRINT_LIST_ACCEPTED_ABSTRACT_UPDATE,Neither test should be interpreted in isolation. Negative tests must not automatically deny shunting.,High ROBIS risk; threshold and protocol heterogeneity. Quantitative results and bibliographic status were updated from the accepted peer-reviewed Frontiers abstract; the final formatted full text was pending. The structural primary-study list retains 14 identifiable preprint studies although the accepted abstract reports 15 overall.,Diagnostic prediction.,ADJUDICATED_FINAL,Aliyar A.; Dash D.; Fasano A.; Prasad M.; Dhikav V.; Wagle Shukla A.; Upadhyay A.D.; Desai S.; Poudel S.; Pal P.K.; Elavarasi A. Accuracy of CSF Tap Test and Lumbar Infusion Test in Predicting Shunt Response in Idiopathic Normal Pressure Hydrocephalus: A Systematic Review and Meta-Analysis. Frontiers in Neurology. 2026;17:1908328. doi:10.3389/fneur.2026.1908328. Accepted 31 July 2026 after peer review; final formatted full text pending on 1 September 2026.,India/international,Assess accuracy of CSF tap test and lumbar infusion test for predicting shunt response in iNPH/NPH.,Systematic review and diagnostic meta-analysis,CRD42023454502,"Ovid MEDLINE, Embase, Cochrane CENTRAL, PubMed, Scopus; reference lists",22 October 2025,English,Reference lists,"Possible/probable NPH receiving CSF-TT or LIT followed by VP/LP shunt irrespective of index-test result, with objective postoperative outcomes.",15,15,NÃO EXTRAÍVEL,721 CSF-TT; 393 LIT overall,721 CSF-TT; 393 LIT overall,Primary meta-analysis: 700 CSF-TT; 368 LIT,Prospective/retrospective cohorts,VP or LP shunt,CSF tap test and lumbar infusion test,Shunt surgery as reference standard,"Global/gait/cognition/urinary, heterogeneous",Varied,Bivariate random-effects diagnostic meta-analysis; post hoc threshold sensitivity analysis,YES,QUADAS-2,GRADE,NR,NR,COMPLETE_PREPRINT + OFFICIAL_ACCEPTED_ABSTRACT,Preprint 1–22; official accepted abstract online
