effect_id,master_id,analysis_cell,microcell_id,predictor,outcome,time,effect_measure,threshold,source_type,umbrella_role,selected_as_anchor,own_cohort_or_hybrid_excluded,exact_microcell_fields_present,complete_estimate_and_interval,paired_accuracy_reporting_available,robis_consensus_overall,primary_study_list_status,n_unique_primary_studies,studies_k,participants_n,search_end_date,year,selection_or_exclusion_reason,hierarchy
FE-0133,FT-021,AI_MODELS,AI_MODELS | AI models reporting AUC | Shunt response | Varied | AUC range | NR,AI models reporting AUC,Shunt response,Varied,AUC range,NR,CODEX_COMPLEMENTARY_EXTRACTION,EXPLORATORY_NO_POOL,False,False,True,True,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,8,4,NR,NR,2024,Exploratory or non-comparable estimate; retained descriptively and not eligible as an anchor.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0135,FT-027,AI_MODELS,AI_MODELS | All ML models | Accuracy | Varied | Mean accuracy | NR,All ML models,Accuracy,Varied,Mean accuracy,NR,CODEX_COMPLEMENTARY_EXTRACTION,EXPLORATORY_NO_POOL,False,False,True,False,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,22,53,NR,January 2023,2023,Exploratory or non-comparable estimate; retained descriptively and not eligible as an anchor.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0136,FT-027,AI_MODELS,AI_MODELS | Diagnostic models | Accuracy | Varied | Mean accuracy | NR,Diagnostic models,Accuracy,Varied,Mean accuracy,NR,CODEX_COMPLEMENTARY_EXTRACTION,EXPLORATORY_NO_POOL,False,False,True,False,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,22,,NR,January 2023,2023,Exploratory or non-comparable estimate; retained descriptively and not eligible as an anchor.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0138,FT-027,AI_MODELS,AI_MODELS | Diagnostic models | Discrimination | Varied | Mean AUC | NR,Diagnostic models,Discrimination,Varied,Mean AUC,NR,CODEX_COMPLEMENTARY_EXTRACTION,EXPLORATORY_NO_POOL,False,False,True,False,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,22,,NR,January 2023,2023,Exploratory or non-comparable estimate; retained descriptively and not eligible as an anchor.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0137,FT-027,AI_MODELS,AI_MODELS | Interventional models | Accuracy | Varied | Mean accuracy | NR,Interventional models,Accuracy,Varied,Mean accuracy,NR,CODEX_COMPLEMENTARY_EXTRACTION,EXPLORATORY_NO_POOL,False,False,True,False,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,22,,NR,January 2023,2023,Exploratory or non-comparable estimate; retained descriptively and not eligible as an anchor.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0139,FT-027,AI_MODELS,AI_MODELS | Interventional models | Discrimination | Varied | Mean AUC | NR,Interventional models,Discrimination,Varied,Mean AUC,NR,CODEX_COMPLEMENTARY_EXTRACTION,EXPLORATORY_NO_POOL,False,False,True,False,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,22,,NR,January 2023,2023,Exploratory or non-comparable estimate; retained descriptively and not eligible as an anchor.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0117,FT-059,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Elevated resistance to CSF outflow | Positive shunt response | Varied | OR | Rout ≥18 mmHg/mL/min,Elevated resistance to CSF outflow,Positive shunt response,Varied,OR,Rout ≥18 mmHg/mL/min,GUIDELINE_EVIDENCE_SYNTHESIS,SUPPORTING_CONCORDANCE_ONLY,False,False,True,True,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,36,NR,95,November 2013 plus two later studies,2015,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0113,FT-053,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Radionuclide cisternography | Shunt response | Varied | NPV | Study-specific abnormal cisternography,Radionuclide cisternography,Shunt response,Varied,NPV,Study-specific abnormal cisternography,SYSTEMATIC_REVIEW_COMPONENT,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,True,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,64,March 2000,2001,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0112,FT-053,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Radionuclide cisternography | Shunt response | Varied | PPV | Study-specific abnormal cisternography,Radionuclide cisternography,Shunt response,Varied,PPV,Study-specific abnormal cisternography,SYSTEMATIC_REVIEW_COMPONENT,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,True,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,64,March 2000,2001,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0110,FT-053,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Radionuclide cisternography | Shunt response | Varied | Sensitivity | Study-specific abnormal cisternography,Radionuclide cisternography,Shunt response,Varied,Sensitivity,Study-specific abnormal cisternography,SYSTEMATIC_REVIEW_COMPONENT,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,True,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,64,March 2000,2001,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0111,FT-053,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Radionuclide cisternography | Shunt response | Varied | Specificity | Study-specific abnormal cisternography,Radionuclide cisternography,Shunt response,Varied,Specificity,Study-specific abnormal cisternography,SYSTEMATIC_REVIEW_COMPONENT,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,True,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,64,March 2000,2001,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
