master_id,robis_overall_a,robis_overall_b,robis_low_both,robis_not_high_both,robis_high_either,robis_consensus_domain_1,robis_consensus_domain_2,robis_consensus_domain_3,robis_consensus_domain_4,robis_consensus_overall,applicability_a,applicability_b,confidence_a,confidence_b,final_applicability_raw,final_confidence_raw,reconstructed_applicability,reconstructed_confidence,consensus_applicability_candidate,consensus_confidence_candidate,amstar_consensus_applicability,amstar_consensus_confidence,robis_final_low,robis_final_unclear,robis_final_high,quality_mode
FT-001,HIGH,UNCLEAR,FALSE,FALSE,TRUE,LOW,LOW,LOW,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-002,HIGH,HIGH,FALSE,FALSE,TRUE,LOW,LOW,LOW,HIGH,HIGH,PARTIAL_SEPARABLE,IN_SCOPE,LOW,CRITICALLY_LOW,IN_SCOPE,CRITICALLY_LOW,IN_SCOPE,CRITICALLY_LOW,IN_SCOPE,CRITICALLY_LOW,IN_SCOPE,CRITICALLY_LOW,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-003,HIGH,UNCLEAR,FALSE,FALSE,TRUE,UNCLEAR,LOW,UNCLEAR,LOW,UNCLEAR,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,TRUE,FALSE,FINAL_CONSENSUS
FT-004,UNCLEAR,UNCLEAR,FALSE,TRUE,FALSE,LOW,LOW,LOW,LOW,LOW,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,TRUE,FALSE,FALSE,FINAL_CONSENSUS
FT-005,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,PARTIAL_SEPARABLE,PARTIAL_SEPARABLE,CRITICALLY_LOW,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-007,HIGH,LOW,FALSE,FALSE,TRUE,LOW,LOW,LOW,LOW,LOW,PARTIAL_SEPARABLE,PARTIAL_SEPARABLE,LOW,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,TRUE,FALSE,FALSE,FINAL_CONSENSUS
FT-008,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,HIGH,HIGH,HIGH,HIGH,PARTIAL_SEPARABLE,OUTSIDE_INTENDED_SCOPE,CRITICALLY_LOW,NOT_APPLICABLE_OUTSIDE_SCOPE,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-010,HIGH,HIGH,FALSE,FALSE,TRUE,LOW,HIGH,UNCLEAR,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-011,LOW,HIGH,FALSE,FALSE,TRUE,LOW,LOW,HIGH,LOW,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-012,HIGH,LOW,FALSE,FALSE,TRUE,LOW,LOW,LOW,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
