indicator,definition_count,proportion
Author-defined response,92,0.6618705035971223
Statistical change only,28,0.2014388489208633
Source-labelled validated threshold,5,0.03597122302158273
Explicitly validated for iNPH shunt response,0,0
General instrument validation only,4,0.02877697841726619
Clearly patient-reported,8,0.05755395683453238
MCID explicitly unreported,134,0.9640287769784173
Instrument-validation source described,4,0.02877697841726619
MCID source specific to iNPH shunt response,0,0
MCID not applicable,1,0.007194244604316547
